ID,Weight
cms_000024,100
SkuPDT01435,103
C226014,135
PDT240591,307
SkuPDT01309,130
SkuPDT393582,65
PDT01648,239
PDT02377,242
C141020,306
PDT431580,118
SkuOFF_FR_388,171
SkuOFF_FR_2020,63
C121115,329
SkuPDT00864,63
SkuOFF_FR_1431,160
OFF_FR_1875,174
cms_000122,98
OFF_FR_124,111
OFF_FR_1725,177
PDT01453,192
SkuPDT00977,105
SkuPDT39575,98
SkuPDT00604,72
OFF_FR_2018,148
SkuPDT500597,52
SkuPDT00559,90
PDT01882,138
PDT00277,265
PDT00338,296
OFF_FR_1867,138
OFF_FR_2043,131
PDT02190,110
OFF_FR_042,103
OFF_FR_1157,110
OFF_FR_1523,287
OFF_FR_1431,155
OFF_FR_040,169
PDT02219,329
SkuOFF_FR_166,69
SkuPDT01653,62
PDT02239,199
SkuOFF_FR_387,94
SkuOFF_FR_1115,78
SkuOFF_FR_1638,125
OFF_FR_0615,192
C134020,256
OFF_FR_1421,258
SkuPDT00297,72
C2255,671
OFF_FR_1016,295
PDT00510,151
PDT09594,157
SkuOFF_FR_15083,308
OFF_FR_153,188
PDT02271,77
PDT00333,130
SkuPDT01639,67
SkuPDT00344,104
SkuOFF_FR_408,916
SkuOFF_FR_1180,94
OFF_FR_1679,173
SkuOFF_FR_1639,86
SkuOFF_FR_0789,141
OFF_FR_1200,129
C203210,130
C197060,70
C121620,256
SkuPDT398581,55
SkuPDT00947,56
PDT01705,113
C151090,133
OFF_FR_1610,298
OFF_FR_1850,124
OFF_FR_1083,184
PDT00185,147
PDT01342,124
OFF_FR_1571,124
OFF_FR_15013,149
PDT267581,398
SkuOFF_FR_9670,47
SkuPDT185581,65
SkuPDT01599,117
PDT02502,249
PDT465580,122
PDT01273,180
PDT02172,314
OFF_FR_0885,160
OFF_FR_0935,152
OFF_FR_1677,109
OFF_FR_0960,119
OFF_FR_399,177
C2130,525
OFF_FR_1908,95
OFF_FR_1570,124
ViewUserAskCatalogV2Dispatch,157
PDT10575,131
C114030,333
OFF_FR_15017,93
C142010,190
OFF_FR_156,153
SkuOFF_FR_1712,78
